_________,X,2,0
X________,O,2,-1
_X_______,O,2,-1
OX_______,X,2,2
XO_______,X,2,2
__X______,O,2,-1
O_X______,X,2,1
OXX______,O,2,-1
_OX______,X,2,0
XOX______,O,2,-1
X_O______,X,2,1
_XO______,X,2,0
XXO______,O,2,-1
___X_____,O,2,-1
O__X_____,X,2,1
OX_X_____,O,2,-1
_O_X_____,X,2,0
XO_X_____,O,2,-1
O_XX_____,O,2,-1
_OXX_____,O,2,-1
OOXX_____,X,2,4
__OX_____,X,2,0
X_OX_____,O,2,-1
_XOX_____,O,2,-1
OXOX_____,X,2,4
XOOX_____,X,2,4
X__O_____,X,2,1
_X_O_____,X,2,0
XX_O_____,O,2,-1
__XO_____,X,2,0
X_XO_____,O,2,-1
_XXO_____,O,2,-1
OXXO_____,X,2,4
XOXO_____,X,2,4
XXOO_____,X,2,4
____X____,O,2,-1
O___X____,X,2,1
OX__X____,O,2,-1
_O__X____,X,2,0
XO__X____,O,2,-1
O_X_X____,O,2,-1
_OX_X____,O,2,-1
OOX_X____,X,2,3
__O_X____,X,2,0
X_O_X____,O,2,-1
_XO_X____,O,2,-1
OXO_X____,X,2,3
XOO_X____,X,2,3
O__XX____,O,2,-1
_O_XX____,O,2,-1
OO_XX____,X,2,2
OOXXX____,O,2,-1
__OXX____,O,2,-1
O_OXX____,X,2,1
OXOXX____,O,2,-1
_OOXX____,X,2,0
XOOXX____,O,2,-1
___OX____,X,2,0
X__OX____,O,2,-1
_X_OX____,O,2,-1
OX_OX____,X,2,2
XO_OX____,X,2,2
__XOX____,O,2,-1
O_XOX____,X,2,1
OXXOX____,O,2,-1
_OXOX____,X,2,0
XOXOX____,O,2,-1
X_OOX____,X,2,1
_XOOX____,X,2,0
XXOOX____,O,2,-1
X___O____,X,2,1
_X__O____,X,2,0
XX__O____,O,2,-1
__X_O____,X,2,0
X_X_O____,O,2,-1
_XX_O____,O,2,-1
OXX_O____,X,2,3
XOX_O____,X,2,3
XXO_O____,X,2,3
___XO____,X,2,0
X__XO____,O,2,-1
_X_XO____,O,2,-1
OX_XO____,X,2,2
XO_XO____,X,2,2
__XXO____,O,2,-1
O_XXO____,X,2,1
OXXXO____,O,2,-1
_OXXO____,X,2,0
XOXXO____,O,2,-1
X_OXO____,X,2,1
_XOXO____,X,2,0
XXOXO____,O,2,-1
XX_OO____,X,1,2
X_XOO____,X,1,1
_XXOO____,X,1,0
_____X___,O,2,-1
O____X___,X,2,1
OX___X___,O,2,-1
_O___X___,X,2,0
XO___X___,O,2,-1
O_X__X___,O,2,-1
_OX__X___,O,2,-1
OOX__X___,X,2,3
__O__X___,X,2,0
X_O__X___,O,2,-1
_XO__X___,O,2,-1
OXO__X___,X,2,3
XOO__X___,X,2,3
O__X_X___,O,2,-1
_O_X_X___,O,2,-1
OO_X_X___,X,2,2
OOXX_X___,O,2,-1
__OX_X___,O,2,-1
O_OX_X___,X,2,1
OXOX_X___,O,2,-1
_OOX_X___,X,2,0
XOOX_X___,O,2,-1
___O_X___,X,2,0
X__O_X___,O,2,-1
_X_O_X___,O,2,-1
OX_O_X___,X,2,2
XO_O_X___,X,2,2
__XO_X___,O,2,-1
O_XO_X___,X,2,1
OXXO_X___,O,2,-1
_OXO_X___,X,2,0
XOXO_X___,O,2,-1
X_OO_X___,X,2,1
_XOO_X___,X,2,0
XXOO_X___,O,2,-1
O___XX___,O,2,-1
_O__XX___,O,2,-1
OO__XX___,X,2,2
OOX_XX___,O,2,-1
__O_XX___,O,2,-1
O_O_XX___,X,2,1
OXO_XX___,O,2,-1
_OO_XX___,X,2,0
XOO_XX___,O,2,-1
___OXX___,O,2,-1
O__OXX___,X,2,1
OX_OXX___,O,2,-1
_O_OXX___,X,2,0
XO_OXX___,O,2,-1
O_XOXX___,O,2,-1
_OXOXX___,O,2,-1
OOXOXX___,X,1,6
__OOXX___,X,2,0
X_OOXX___,O,2,-1
_XOOXX___,O,2,-1
OXOOXX___,X,2,6
XOOOXX___,X,2,6
____OX___,X,2,0
X___OX___,O,2,-1
_X__OX___,O,2,-1
OX__OX___,X,2,2
XO__OX___,X,2,2
__X_OX___,O,2,-1
O_X_OX___,X,2,1
OXX_OX___,O,2,-1
_OX_OX___,X,2,0
XOX_OX___,O,2,-1
X_O_OX___,X,2,1
_XO_OX___,X,2,0
XXO_OX___,O,2,-1
___XOX___,O,2,-1
O__XOX___,X,2,1
OX_XOX___,O,2,-1
_O_XOX___,X,2,0
XO_XOX___,O,2,-1
O_XXOX___,O,2,-1
_OXXOX___,O,2,-1
OOXXOX___,X,2,6
__OXOX___,X,2,0
X_OXOX___,O,2,-1
_XOXOX___,O,2,-1
OXOXOX___,X,2,6
XOOXOX___,X,1,6
X__OOX___,X,2,1
_X_OOX___,X,2,0
XX_OOX___,O,2,-1
__XOOX___,X,2,0
X_XOOX___,O,2,-1
_XXOOX___,O,2,-1
OXXOOX___,X,2,6
XOXOOX___,X,2,6
XXOOOX___,X,2,6
X____O___,X,2,1
_X___O___,X,2,0
XX___O___,O,2,-1
__X__O___,X,2,0
X_X__O___,O,2,-1
_XX__O___,O,2,-1
OXX__O___,X,2,3
XOX__O___,X,2,3
XXO__O___,X,2,3
___X_O___,X,2,0
X__X_O___,O,2,-1
_X_X_O___,O,2,-1
OX_X_O___,X,2,2
XO_X_O___,X,2,2
__XX_O___,O,2,-1
O_XX_O___,X,2,1
OXXX_O___,O,2,-1
_OXX_O___,X,2,0
XOXX_O___,O,2,-1
X_OX_O___,X,2,1
_XOX_O___,X,2,0
XXOX_O___,O,2,-1
XX_O_O___,X,1,2
X_XO_O___,X,1,1
_XXO_O___,X,1,0
____XO___,X,2,0
X___XO___,O,2,-1
_X__XO___,O,2,-1
OX__XO___,X,2,2
XO__XO___,X,2,2
__X_XO___,O,2,-1
O_X_XO___,X,2,1
OXX_XO___,O,2,-1
_OX_XO___,X,2,0
XOX_XO___,O,2,-1
X_O_XO___,X,2,1
_XO_XO___,X,2,0
XXO_XO___,O,2,-1
___XXO___,O,2,-1
O__XXO___,X,2,1
OX_XXO___,O,2,-1
_O_XXO___,X,2,0
XO_XXO___,O,2,-1
O_XXXO___,O,2,-1
_OXXXO___,O,2,-1
OOXXXO___,X,1,6
__OXXO___,X,2,0
X_OXXO___,O,2,-1
_XOXXO___,O,2,-1
OXOXXO___,X,2,6
XOOXXO___,X,1,6
X__OXO___,X,2,1
_X_OXO___,X,2,0
XX_OXO___,O,2,-1
__XOXO___,X,2,0
X_XOXO___,O,2,-1
_XXOXO___,O,2,-1
OXXOXO___,X,1,6
XOXOXO___,X,1,6
XXOOXO___,X,2,6
XX__OO___,X,1,2
X_X_OO___,X,1,1
